1	1	0.0209379	1	0.021286	1	0.000253136
2	2	0.0229638	2	0.021037	2	0.000261117
3	3	0.0206657	3	0.0203189	3	0.000281061
4	4	0.0224439	4	0.0211258	4	0.000297493
5	5	0.0205845	5	0.0210674	4	0.000297937
6	6	0.0206166	6	0.0211893	6	0.000304776
7	7	0.0206146	7	0.0221927	6	0.000304106
8	8	0.0216238	8	0.0222005	8	0.000306716
9	9	0.0208329	9	0.0214302	9	0.000326504
10	10	0.0218501	10	0.0211216	9	0.000319359
11	11	0.0210422	11	0.0222513	11	0.000322277
12	12	0.0207971	12	0.020635	12	0.00033149
13	13	0.0206314	13	0.0204989	12	0.000329926
14	14	0.0208506	14	0.0205441	14	0.00033241
15	15	0.0218188	15	0.0204938	15	0.000337659
16	16	0.0205118	16	0.0205153	16	0.000341775
17	17	0.0216448	17	0.0204449	17	0.000346449
18	18	0.0206092	18	0.0204288	17	0.000346328
19	19	0.020628	19	0.0203854	19	0.000363044
20	20	0.0206484	20	0.0205916	19	0.000353794
21	21	0.0205982	21	0.0205527	19	0.000353953
22	22	0.0220198	22	0.020508	22	0.000360235
23	23	0.0217186	23	0.0203497	22	0.000358848
24	24	0.0217355	24	0.0204327	24	0.00036906
25	25	0.020491	25	0.0213232	24	0.000367409
26	26	0.0205289	26	0.0204132	24	0.000367129
27	27	0.0208112	27	0.0204859	27	0.000377626
28	28	0.0215454	28	0.0204611	27	0.000377823
29	29	0.0204955	29	0.0205116	29	0.000380958
30	30	0.0206752	30	0.0212654	29	0.000381191
31	31	0.0208386	31	0.020643	29	0.000382693
32	32	0.0218111	32	0.0205696	32	0.000394742
33	33	0.0208709	33	0.0206981	32	0.000396206
34	34	0.0206646	34	0.0203279	32	0.000396223
35	35	0.0206916	35	0.0205207	32	0.000396074
36	36	0.0206189	36	0.0205051	36	0.00040333
37	37	0.0223437	37	0.0214721	36	0.000404344
38	38	0.0207103	38	0.020579	38	0.00040937
39	39	0.0211621	39	0.0217051	38	0.000409905
40	40	0.0230902	40	0.0204465	38	0.000417674
41	41	0.020572	41	0.0204728	38	0.000409727
42	42	0.0207352	42	0.0211703	42	0.000418483
43	43	0.0205135	43	0.0203863	42	0.000419615
44	44	0.0206081	44	0.0204843	42	0.000425845
45	45	0.0217453	45	0.0212769	42	0.000454623
46	46	0.0205343	46	0.0212659	42	0.000417016
47	47	0.0208953	47	0.0204935	42	0.000428413
48	48	0.020664	48	0.0208027	42	0.0004192
49	49	0.0204386	49	0.0206957	49	0.000426541
50	50	0.0206972	50	0.0203795	49	0.000428519
51	51	0.0208687	51	0.0203492	49	0.00042972
52	52	0.02076	52	0.0205337	49	0.000426609
53	53	0.0216977	53	0.0215085	49	0.000427368
54	54	0.0208157	54	0.0204314	49	0.000426767
55	55	0.0207701	55	0.0205074	55	0.000436413
56	56	0.0205464	56	0.0204437	55	0.000435979
57	57	0.0206744	57	0.0207058	55	0.000450145
58	58	0.0219284	58	0.0212043	55	0.000436807
