Name	frame_num	pts_tracked	pts_added	loop_time	track_time	mgmt_time
Harris	129	48	2	122.434	42.6027	79.8261
Harris	130	48	2	120.871	41.6633	79.202
Harris	131	49	1	120.659	40.6281	80.0255
Harris	132	50	0	39.9835	39.9722	0.005958
Harris	133	50	0	40.2871	40.2768	0.005416
Harris	134	50	0	40.0662	40.0572	0.0045
Harris	135	50	0	40.2008	40.1909	0.005333
Harris	136	50	0	39.9701	39.961	0.004667
Harris	137	50	0	39.8935	39.885	0.003709
Harris	138	50	0	40.4179	40.4087	0.004792
Harris	139	50	0	39.8418	39.8333	0.004042
Harris	140	50	0	41.2269	41.2181	0.004374
Harris	141	50	0	40.5201	40.511	0.004625
Harris	142	50	0	40.6513	40.6425	0.004333
Harris	143	50	0	40.9934	40.9849	0.003792
Harris	144	50	0	41.0895	41.0814	0.004167
Harris	145	50	0	40.7557	40.7472	0.003834
Harris	146	50	0	40.8757	40.8669	0.004167
Harris	147	50	0	42.0817	42.0735	0.004083
Harris	148	47	3	119.263	40.9138	78.3436
Harris	149	48	2	120.457	41.4047	79.0462
Harris	150	49	1	120.703	41.0063	79.6909
Harris	151	50	0	41.226	41.2165	0.004542
Harris	152	48	2	119.73	41.4013	78.3231
Harris	153	49	1	120.183	40.751	79.4259
Harris	154	49	1	121.866	41.436	80.4251
Harris	155	49	1	120.034	40.0724	79.9558
Harris	156	50	0	40.3574	40.3485	0.004417
Harris	157	50	0	41.5178	41.5094	0.004
Harris	158	48	2	121.668	41.3464	80.3152
Harris	159	48	2	120.772	40.8473	79.9197
Harris	160	49	1	118.558	40.4584	78.0936
Harris	161	50	0	40.6305	40.6219	0.004417
Harris	162	50	0	40.8786	40.8696	0.004584
Harris	163	50	0	41.4537	41.4454	0.004167
Harris	164	50	0	40.5518	40.5424	0.00475
Harris	165	50	0	42.4339	42.4255	0.003917
Harris	166	50	0	44.6753	44.6656	0.004708
Harris	167	49	1	121.714	41.7874	79.921
Harris	168	50	0	42.0986	42.0893	0.004917
Harris	169	50	0	41.7896	41.7823	0.003292
Harris	170	48	2	121.951	42.1388	79.8062
Harris	171	46	4	122.329	42.5215	79.8021
Harris	172	46	4	119.684	41.3352	78.3428
