Name	frame_num	pts_tracked	loop_time	track_time
Harris	156	3	17.7688	17.7597
Harris	157	3	17.7301	17.722
Harris	158	3	17.9208	17.9125
Harris	159	3	17.7378	17.7285
Harris	160	3	17.973	17.9634
Harris	161	3	17.6564	17.6484
Harris	162	3	17.8538	17.8448
Harris	163	3	17.6886	17.6803
Harris	164	3	18.0114	18.0035
Harris	165	3	17.9946	17.9857
Harris	166	3	18.2655	18.2562
Harris	167	3	17.7191	17.7104
Harris	168	3	17.9089	17.8996
Harris	169	3	17.7418	17.7328
Harris	170	3	18.0069	17.9976
Harris	171	3	17.6106	17.6027
Harris	172	3	17.9163	17.9071
Harris	173	3	17.7453	17.7367
Harris	174	3	17.9172	17.9083
Harris	175	3	17.8048	17.7923
Harris	176	3	18.0145	18.006
Harris	177	3	17.7653	17.7568
Harris	178	3	17.7873	17.7788
Harris	179	3	17.6528	17.6445
Harris	180	3	17.9384	17.9293
Harris	181	3	17.8291	17.8219
Harris	182	3	18.6808	18.6707
Harris	183	3	17.9166	17.9081
Harris	184	2	17.9725	17.9646
Harris	185	2	17.464	17.456
Harris	186	2	17.6642	17.6563
Harris	187	2	17.7214	17.7125
Harris	188	2	17.6125	17.6038
Harris	189	2	18.1356	18.1268
Harris	190	2	17.3464	17.3385
Harris	191	2	17.0257	17.0175
Harris	192	2	17.8746	17.865
Harris	193	2	17.3053	17.2968
Harris	194	2	17.1909	17.1824
Harris	195	2	17.1247	17.1172
Harris	196	2	16.837	16.8271
Harris	197	2	17.709	17.7008
Harris	198	2	17.4645	17.4569
Harris	199	2	17.3026	17.2948
Harris	200	2	17.298	17.2898
Harris	201	2	17.2171	17.2085
Harris	202	2	17.1615	17.1528
Harris	203	2	17.2776	17.2699
Harris	204	2	17.2967	17.2896
Harris	205	2	17.2411	17.2335
Harris	206	2	17.3835	17.3756
Harris	207	2	17.3509	17.3428
Harris	208	2	17.5482	17.5366
Harris	209	2	16.907	16.9003
Harris	210	2	17.2129	17.2028
Harris	211	2	17.0577	17.0493
Harris	212	2	17.049	17.0417
Harris	213	2	16.9587	16.9513
Harris	214	2	17.2005	17.1935
Harris	215	2	17.0315	17.0235
Harris	216	2	17.1573	17.1486
Harris	217	2	17.2561	17.2482
Harris	218	2	17.2745	17.2664
Harris	219	2	16.9373	16.9304
Harris	220	2	17.3066	17.298
Harris	221	2	17.9724	17.9643
Harris	222	2	17.8158	17.8074
Harris	223	2	17.1735	17.1652
Harris	224	2	17.5218	17.5123
