Name	frame_num	pts_tracked	pts_added	loop_time	track_time	mgmt_time
Harris	128	28	2	35.1016	19.1027	15.9932
Harris	129	29	1	32.1482	15.1771	16.965
Harris	130	30	0	14.7087	14.701	0.003583
Harris	131	30	0	18.1181	18.1096	0.00375
Harris	132	30	0	20.0601	20.052	0.003167
Harris	133	29	1	32.4162	15.4136	16.997
Harris	134	30	0	14.9249	14.9167	0.004125
Harris	135	30	0	16.5087	16.4966	0.005708
Harris	136	30	0	15.2641	15.2526	0.004958
Harris	137	30	0	14.6094	14.6007	0.0045
Harris	138	30	0	18.6388	18.6309	0.00375
Harris	139	30	0	16.9937	16.9849	0.003625
Harris	140	30	0	16.8866	16.8782	0.004084
Harris	141	30	0	16.5206	16.5125	0.003708
Harris	142	30	0	19.2765	19.267	0.004042
Harris	143	25	5	36.0316	19.2676	16.7582
Harris	144	27	3	40.8858	19.6705	21.2074
Harris	145	27	3	32.5392	15.5865	16.9476
Harris	146	29	1	31.6702	14.8093	16.8552
Harris	147	30	0	18.727	18.7148	0.005958
Harris	148	29	1	39.6267	22.7272	16.8928
Harris	149	30	0	23.7112	23.7025	0.004417
Harris	150	30	0	17.6818	17.6729	0.003916
Harris	151	29	1	32.205	15.3058	16.8939
Harris	152	30	0	14.3192	14.3093	0.005167
Harris	153	30	0	16.6599	16.6486	0.004875
Harris	154	30	0	15.2257	15.2147	0.005208
Harris	155	30	0	14.4165	14.4089	0.003333
Harris	156	30	0	16.1113	16.1034	0.003584
Harris	157	30	0	21.0775	21.0684	0.003709
Harris	158	24	6	36.5468	19.6675	16.8731
Harris	159	27	3	38.9475	15.9046	23.0373
Harris	160	28	2	41.7137	24.6866	17.0202
Harris	161	27	3	38.063	20.8766	17.1816
Harris	162	27	3	38.4779	18.8425	19.6277
Harris	163	25	5	31.9351	15.0805	16.8483
Harris	164	25	5	35.9774	18.0534	17.9174
Harris	165	26	4	33.7181	16.8086	16.9031
Harris	166	28	2	31.3973	14.5917	16.8006
Harris	167	29	1	38.9627	16.5331	22.4236
Harris	168	30	0	23.9031	23.8934	0.003833
Harris	169	28	2	34.8049	17.9032	16.8956
Harris	170	29	1	38.2157	15.0104	23.1992
Harris	171	29	1	37.3203	20.2809	17.033
Harris	172	30	0	17.121	17.1116	0.005166
Harris	173	29	1	36.5846	17.0128	19.5642
Harris	174	30	0	15.8966	15.8873	0.004292
Harris	175	28	2	33.3027	16.4714	16.8255
Harris	176	28	2	40.4254	20.1597	20.2583
Harris	177	29	1	31.6359	14.8727	16.7576
Harris	178	29	1	34.061	17.0696	16.9858
Harris	179	30	0	18.223	18.2094	0.007208
Harris	180	30	0	16.0694	16.0594	0.004334
Harris	181	30	0	16.7768	16.7671	0.004875
Harris	182	29	1	34.3194	17.2955	17.0183
Harris	183	26	4	38.7535	18.7445	20.0014
Harris	184	28	2	32.9322	16.0091	16.9175
Harris	185	29	1	32.3963	15.4738	16.9178
Harris	186	30	0	17.1691	17.1599	0.004208
Harris	187	30	0	19.8554	19.8465	0.004083
Harris	188	29	1	38.3998	15.7308	22.6634
Harris	189	30	0	18.5909	18.5797	0.006
Harris	190	30	0	16.211	16.2036	0.003291
Harris	191	28	2	35.2484	18.325	16.918
Harris	192	28	2	37.6399	15.3056	22.3277
Harris	193	29	1	32.021	15.2883	16.7269
Harris	194	30	0	15.2802	15.2719	0.003791
Harris	195	30	0	15.6177	15.6066	0.00525
Harris	196	30	0	15.4851	15.4756	0.004125
Harris	197	30	0	14.2864	14.2791	0.003209
Harris	198	30	0	14.5921	14.583	0.005041
Harris	199	30	0	15.09	15.0822	0.003167
