Harris	0	31	19
Harris	1	49	1
Harris	2	50	0
Harris	3	48	2
Harris	4	47	3
Harris	5	47	3
Harris	6	48	2
Harris	7	49	1
Harris	8	50	0
Harris	9	50	0
Harris	10	50	0
Harris	11	50	0
Harris	12	50	0
Harris	13	50	0
Harris	14	50	0
Harris	15	50	0
Harris	16	50	0
Harris	17	50	0
Harris	18	50	0
Harris	19	50	0
Harris	20	50	0
Harris	21	50	0
Harris	22	50	0
Harris	23	50	0
Harris	24	50	0
Harris	25	50	0
Harris	26	50	0
Harris	27	50	0
Harris	28	50	0
Harris	29	50	0
Harris	30	50	0
Harris	31	50	0
Harris	32	50	0
Harris	33	44	6
Harris	34	45	5
Harris	35	46	4
Harris	36	48	2
Harris	37	42	8
Harris	38	45	5
Harris	39	44	6
Harris	40	44	6
Harris	41	43	7
Harris	42	45	5
Harris	43	46	4
Harris	44	47	3
Harris	45	45	5
Harris	46	46	4
Harris	47	48	2
Harris	48	49	1
Harris	49	50	0
Harris	50	50	0
Harris	51	50	0
Harris	52	50	0
Harris	53	50	0
Harris	54	50	0
Harris	55	50	0
Harris	56	49	1
Harris	57	49	1
Harris	58	50	0
Harris	59	50	0
Harris	60	50	0
Harris	61	49	1
Harris	62	49	1
Harris	63	50	0
Harris	64	49	1
Harris	65	49	1
Harris	66	50	0
Harris	67	50	0
Harris	68	50	0
Harris	69	50	0
Harris	70	50	0
Harris	71	50	0
Harris	72	50	0
Harris	73	50	0
Harris	74	50	0
Harris	75	50	0
Harris	76	50	0
Harris	77	50	0
Harris	78	49	1
Harris	79	50	0
Harris	80	49	1
Harris	81	50	0
Harris	82	49	1
Harris	83	48	2
Harris	84	49	1
Harris	85	49	1
Harris	86	49	1
Harris	87	44	6
Harris	88	44	6
Harris	89	45	5
Harris	90	47	3
Harris	91	48	2
Harris	92	49	1
Harris	93	50	0
Harris	94	50	0
Harris	95	50	0
Harris	96	49	1
Harris	97	50	0
Harris	98	49	1
Harris	99	50	0
Harris	100	45	5
Harris	101	45	5
Harris	102	47	3
Harris	103	48	2
Harris	104	47	3
Harris	105	42	8
Harris	106	43	7
Harris	107	46	4
Harris	108	44	6
Harris	109	45	5
Harris	110	48	2
Harris	111	49	1
Harris	112	48	2
Harris	113	48	2
Harris	114	46	4
Harris	115	47	3
Harris	116	48	2
Harris	117	45	5
Harris	118	49	1
Harris	119	50	0
Harris	120	48	2
Harris	121	44	6
Harris	122	44	6
Harris	123	42	8
Harris	124	45	5
Harris	125	47	3
Harris	126	46	4
Harris	127	43	7
Harris	128	41	9
Harris	129	44	6
Harris	130	44	6
Harris	131	46	4
Harris	132	47	3
Harris	133	43	7
Harris	134	45	5
Harris	135	47	3
Harris	136	49	1
Harris	137	50	0
Harris	138	49	1
Harris	139	47	3
Harris	140	48	2
Harris	141	49	1
Harris	142	50	0
Harris	143	46	4
Harris	144	44	6
Harris	145	45	5
Harris	146	46	4
Harris	147	47	3
Harris	148	46	4
Harris	149	45	5
Harris	150	46	4
Harris	151	46	4
Harris	152	48	2
Harris	153	48	2
Harris	154	49	1
Harris	155	50	0
Harris	156	50	0
Harris	157	48	2
Harris	158	42	8
Harris	159	41	9
Harris	160	41	9
Harris	161	44	6
Harris	162	47	3
Harris	163	41	9
Harris	164	37	13
Harris	165	38	12
Harris	166	39	11
Harris	167	43	7
Harris	168	45	5
Harris	169	45	5
Harris	170	46	4
Harris	171	46	4
Harris	172	47	3
Harris	173	48	2
Harris	174	47	3
Harris	175	45	5
Harris	176	41	6
Harris	177	37	11
Harris	178	39	11
Harris	179	44	6
Harris	180	45	4
Harris	181	46	4
Harris	182	46	4
Harris	183	40	10
Harris	184	45	5
Harris	185	43	7
Harris	186	44	6
