Cycle	Main Loop	Fetch	Flow	Points
0	0.0370551	0.0152228	0.0217301	10
1	0.0354037	0.0151465	0.0201806	10
2	0.0372647	0.0159612	0.0212802	10
3	0.0385745	0.0182905	0.0202624	10
4	0.0356835	0.0153662	0.0202775	10
5	0.0388867	0.017933	0.0209347	10
6	0.0391577	0.0182477	0.0208918	10
7	0.0363995	0.0162406	0.0201372	10
8	0.0358321	0.0154387	0.0203725	10
9	0.0355425	0.015362	0.0201568	10
10	0.0357765	0.0154615	0.0202937	10
11	0.0379282	0.0164662	0.0214387	10
12	0.0379374	0.0176072	0.0203098	10
13	0.0363782	0.0160945	0.0202608	10
14	0.0366848	0.0157696	0.0208959	10
15	0.0393164	0.018376	0.0209221	10
16	0.0373863	0.0163604	0.0210057	10
17	0.038363	0.0180363	0.0203057	10
18	0.0388967	0.0184207	0.020455	10
19	0.038445	0.0175026	0.0209198	10
20	0.0373182	0.0162445	0.0210526	10
21	0.0392912	0.0182179	0.0210548	10
22	0.0384222	0.0181853	0.0202134	10
23	0.0364732	0.0157332	0.0207214	10
24	0.0356309	0.015257	0.020355	10
25	0.0371896	0.0163516	0.020816	10
26	0.0385623	0.0176845	0.0208554	10
27	0.0363178	0.01584	0.0204515	10
28	0.0360153	0.0157004	0.0202922	10
29	0.0361127	0.0156114	0.0204761	10
30	0.0372693	0.01591	0.0213401	10
31	0.0396613	0.0175932	0.0220474	10
32	0.0370366	0.015344	0.0216727	10
33	0.0370308	0.0163521	0.0206551	10
34	0.0375834	0.0172403	0.020319	10
35	0.03724	0.0161126	0.0211065	10
36	0.0384173	0.017926	0.0204675	10
37	0.0366704	0.0156552	0.0209939	10
38	0.0383445	0.0181225	0.0202013	10
39	0.0363987	0.0156552	0.0207057	10
40	0.0364445	0.0159043	0.0205208	10
41	0.0386474	0.0174664	0.0211636	10
42	0.0382373	0.0174331	0.0207847	10
43	0.0393862	0.0192718	0.0200903	10
44	0.0373916	0.0156188	0.0217472	10
45	0.0370769	0.0158873	0.0211698	10
46	0.0393582	0.0178757	0.0214613	10
47	0.0389993	0.0184331	0.0205449	10
48	0.0364853	0.0152863	0.0211796	10
49	0.0389162	0.0180117	0.020888	10
50	0.0383535	0.0181788	0.0201548	10
51	0.0358404	0.0153912	0.0204285	10
52	0.0373978	0.0171615	0.020216	10
53	0.035681	0.0154215	0.0202323	10
54	0.0367243	0.0159491	0.0207555	10
55	0.0377523	0.0175429	0.0201881	10
56	0.0359198	0.0152382	0.0206595	10
57	0.0360499	0.0155337	0.0204932	10
58	0.038266	0.0173455	0.0209012	10
59	0.0381926	0.0180879	0.020086	10
60	0.0360845	0.0155411	0.0205214	10
61	0.0367178	0.0158709	0.0208275	10
62	0.0398111	0.0188127	0.0209783	10
63	0.0362162	0.0160163	0.0201792	10
64	0.0364494	0.014594	0.021833	10
65	0.0354185	0.0152411	0.0201577	10
66	0.0364416	0.0156777	0.020745	10
67	0.0390585	0.0183093	0.0207308	10
68	0.036224	0.0161315	0.0200739	10
69	0.0353821	0.0153195	0.0200414	10
70	0.0360155	0.0158471	0.0201462	10
71	0.0384541	0.0163181	0.0221149	10
72	0.0377409	0.0173927	0.0203273	10
73	0.0356695	0.0154493	0.020138	10
74	0.036166	0.0160157	0.0201303	10
75	0.0392788	0.018518	0.0207426	10
76	0.0394111	0.0183061	0.021087	10
77	0.0374697	0.0172202	0.02023	10
78	0.0368271	0.0155264	0.0212798	10
79	0.038691	0.0184452	0.0202215	10
80	0.0355453	0.015169	0.0203535	10
81	0.0355465	0.015326	0.0201941	10
82	0.0358137	0.0157598	0.020033	10
83	0.0369086	0.0160413	0.0208488	10
84	0.0404373	0.0182889	0.0221286	10
85	0.0427607	0.0191149	0.0236282	10
86	0.0364629	0.0163193	0.0201232	10
87	0.0355783	0.015408	0.0201476	10
88	0.0361892	0.0159033	0.0202616	10
89	0.036983	0.0160839	0.0208779	10
90	0.038223	0.0176142	0.0205866	10
91	0.0367677	0.0159332	0.0208142	10
92	0.0383003	0.0180381	0.0202426	10
93	0.0369378	0.0160919	0.0208262	10
94	0.0356081	0.0154132	0.0201715	10
95	0.0384457	0.0176042	0.0208191	10
96	0.0405365	0.017725	0.0227865	10
97	0.0356531	0.0155903	0.0200415	10
98	0.0378258	0.017507	0.0202974	10
99	0.0359803	0.0158606	0.0200977	10
Camera closed.
