Cycle	Main Loop	Fetch	Flow	Points
0	0.0815869	0.0184812	0.0630022	100
1	0.084058	0.0183364	0.0656523	100
2	0.0828675	0.0186465	0.0642044	100
3	0.105155	0.0264324	0.0786865	100
4	0.0749742	0.0174223	0.0575358	100
5	0.0789057	0.016783	0.0621062	100
6	0.075027	0.0156755	0.059334	100
7	0.0751183	0.0158011	0.0592971	100
8	0.0782886	0.0164107	0.061861	100
9	0.0710112	0.0158994	0.055095	100
10	0.0745824	0.0160961	0.0584694	100
11	0.0777212	0.015782	0.061922	100
12	0.0761921	0.016053	0.0601176	100
13	0.0718527	0.0159356	0.0558965	100
14	0.0756069	0.0163545	0.0592348	100
15	0.0742918	0.0156481	0.0586265	100
16	0.0790017	0.0165185	0.0624671	100
17	0.0775563	0.0158568	0.0616828	100
18	0.0785722	0.0161196	0.0624344	100
19	0.0783832	0.0166008	0.0617664	100
20	0.074332	0.0159939	0.058321	100
21	0.0785116	0.016001	0.0624913	100
22	0.075092	0.0160555	0.0590196	100
23	0.0714217	0.0160048	0.0553995	100
24	0.0763271	0.015846	0.0604645	100
25	0.0763235	0.0162893	0.0600137	100
26	0.0760418	0.0162362	0.0597847	100
27	0.0713689	0.016161	0.055192	100
28	0.0763499	0.0158914	0.0604415	100
29	0.0787988	0.0161141	0.0626646	100
30	0.0769009	0.0160408	0.0608431	100
31	0.0787402	0.0158525	0.0628679	100
32	0.0775309	0.0164825	0.0610314	100
33	0.0733772	0.0159866	0.0573738	100
34	0.0751026	0.0153315	0.0586344	100
35	0.0766971	0.0165624	0.0601172	100
36	0.0740843	0.0159558	0.0581091	100
37	0.0731324	0.0158997	0.0572155	100
38	0.0738569	0.0160779	0.0577631	100
39	0.0767797	0.0163498	0.0604128	100
40	0.0770717	0.0160733	0.0609795	100
41	0.0784243	0.0168295	0.0615775	100
42	0.0831112	0.0165801	0.0665122	100
43	0.0804949	0.0167468	0.0637297	100
44	0.0817884	0.0175079	0.0642642	100
45	0.081667	0.0161489	0.0654982	100
46	0.0779571	0.015679	0.0622607	100
47	0.0814725	0.0166551	0.0647956	100
48	0.0755714	0.0162644	0.0592898	100
49	0.0806103	0.0180762	0.0625176	100
50	0.0809765	0.0163733	0.0645864	100
51	0.0833811	0.0172163	0.0661451	100
52	0.0785922	0.0162259	0.0623505	100
53	0.0734045	0.0160403	0.0573483	100
54	0.0744573	0.0158819	0.0585559	100
55	0.0783154	0.0166014	0.0616967	100
56	0.0768239	0.0158165	0.0609904	100
57	0.0751154	0.0161236	0.0589749	100
58	0.0788924	0.0157803	0.063094	100
59	0.0802212	0.0175046	0.062698	100
60	0.0735402	0.0159731	0.0575513	100
61	0.0819388	0.0163187	0.0656002	100
62	0.0805785	0.0159896	0.0645722	100
63	0.0762676	0.0158843	0.060364	100
64	0.0769509	0.0167459	0.060188	100
65	0.0775058	0.0159547	0.061532	100
66	0.0748978	0.0157858	0.0590914	100
67	0.07554	0.0160941	0.0594289	100
68	0.0833764	0.0161758	0.0671838	100
69	0.0721792	0.0156198	0.056542	100
70	0.0807208	0.0162488	0.0644545	100
71	0.0775214	0.0159152	0.0615875	100
72	0.0742725	0.0159552	0.0583013	100
73	0.0803632	0.0162557	0.0640902	100
74	0.0814408	0.0162328	0.0651898	100
75	0.0754761	0.0158734	0.0595868	100
76	0.076935	0.0163126	0.060606	100
77	0.0747328	0.0157463	0.0589697	100
78	0.0741101	0.016188	0.0579057	100
79	0.0796609	0.0163477	0.0632929	100
80	0.0779159	0.0160315	0.0618685	100
81	0.0774563	0.0167678	0.0606715	100
82	0.0768829	0.0159447	0.0609172	100
83	0.0749575	0.0159281	0.0590117	100
84	0.0751175	0.0166727	0.0583595	100
85	0.0739471	0.0168945	0.0570363	100
86	0.0750119	0.0160286	0.0589669	100
87	0.0780722	0.0165607	0.0614941	100
88	0.0733775	0.0167123	0.0566489	100
89	0.0731002	0.0157799	0.0573038	100
90	0.0767089	0.0165422	0.0601472	100
91	0.079137	0.0163233	0.0627942	100
92	0.0715985	0.0161269	0.055455	100
93	0.0769297	0.0161671	0.0607454	100
94	0.075892	0.0157819	0.0600941	100
95	0.078054	0.0156455	0.0623913	100
96	0.0758247	0.0156887	0.0601173	100
97	0.0756379	0.0158887	0.0597319	100
98	0.077568	0.016208	0.0613387	100
99	0.0695253	0.0158871	0.0536193	100
Camera closed.
