Cycle	Main Loop	Fetch	Flow	Points
0	0.109025	0.0184095	0.090416	150
1	0.10132	0.0183372	0.0829079	150
2	0.10487	0.0183236	0.086529	150
3	0.0967382	0.0183281	0.0783931	150
4	0.0964062	0.0182835	0.0781049	150
5	0.10441	0.018302	0.0860893	150
6	0.0960798	0.0183774	0.0776848	150
7	0.105213	0.018131	0.0870639	150
8	0.0958536	0.0182369	0.0775992	150
9	0.0947245	0.0183528	0.0763535	150
10	0.102248	0.0183331	0.083897	150
11	0.121169	0.0275913	0.0935596	150
12	0.100195	0.0187204	0.0814567	150
13	0.0952856	0.0184092	0.0768591	150
14	0.0980406	0.0189046	0.079118	150
15	0.0974634	0.0189707	0.0784754	150
16	0.101779	0.0181765	0.0835845	150
17	0.104082	0.0187642	0.0852995	150
18	0.0966187	0.0184799	0.0781205	150
19	0.0949873	0.0187141	0.0762544	150
20	0.101212	0.0179088	0.083286	150
21	0.0944711	0.0179759	0.0764774	150
22	0.0941241	0.0181455	0.075961	150
23	0.0951312	0.0183084	0.0768049	150
24	0.0948239	0.0182903	0.0765159	150
25	0.103489	0.0177756	0.0856963	150
26	0.102498	0.0182828	0.0841975	150
27	0.0953428	0.0181868	0.0771387	150
28	0.0993965	0.0182236	0.0811554	150
29	0.0940599	0.0182694	0.0756802	150
30	0.0974592	0.018795	0.0786458	150
31	0.0942812	0.0185574	0.0757058	150
32	0.0943859	0.0186891	0.0756796	150
33	0.101453	0.0179664	0.0834695	150
34	0.0952455	0.0181115	0.0771159	150
35	0.0945036	0.0181726	0.0763138	150
36	0.0958025	0.0198672	0.0759173	150
37	0.101181	0.0181667	0.0829961	150
38	0.0987112	0.018165	0.0805278	150
39	0.0970591	0.0182861	0.0787552	150
40	0.098623	0.0182423	0.0803625	150
41	0.0999098	0.0200232	0.079869	150
42	0.0949313	0.0183695	0.0765438	150
43	0.0948962	0.0178492	0.0770298	150
44	0.095317	0.018903	0.076396	150
45	0.101645	0.0186281	0.0829991	150
46	0.097504	0.0186234	0.0788623	150
47	0.0968317	0.0187058	0.0781091	150
48	0.108288	0.0187276	0.0895425	150
49	0.111925	0.0181016	0.093806	150
50	0.104937	0.0181437	0.0867752	150
51	0.0975395	0.0197987	0.0777221	150
52	0.0957943	0.017891	0.077886	150
53	0.10091	0.0181942	0.0826985	150
54	0.0971609	0.0183238	0.0788196	150
55	0.100979	0.0182327	0.0827285	150
56	0.0976087	0.020015	0.0775762	150
57	0.0986901	0.0180623	0.0806106	150
58	0.0949901	0.0183051	0.0766668	150
59	0.0996036	0.0179707	0.0816149	150
60	0.101173	0.0182712	0.082884	150
61	0.108989	0.0181346	0.0908359	150
62	0.105982	0.0246911	0.081273	150
63	0.096495	0.0182078	0.0782691	150
64	0.0968433	0.0181553	0.0786691	150
65	0.104625	0.0183397	0.0862675	150
66	0.0960915	0.0196691	0.0764046	150
67	0.0991389	0.0181181	0.0809852	150
68	0.0932642	0.018328	0.0749186	150
69	0.100051	0.0182381	0.0817947	150
70	0.0947079	0.0182836	0.0764063	150
71	0.0967053	0.0182753	0.0784123	150
72	0.0946149	0.0182392	0.0763573	150
73	0.0946238	0.0187068	0.0758992	150
74	0.0989127	0.0197489	0.0791457	150
75	0.0951932	0.0186537	0.0764128	150
76	0.103999	0.0180634	0.0859173	150
77	0.102535	0.018539	0.0839785	150
78	0.100229	0.0197702	0.0804408	150
79	0.103085	0.0188104	0.0842568	150
80	0.0939002	0.0185162	0.0753661	150
81	0.101292	0.0186124	0.0826612	150
82	0.0947412	0.0185482	0.0761749	150
83	0.0938947	0.0186731	0.0752031	150
84	0.10064	0.0181994	0.0824228	150
85	0.0970392	0.0182316	0.0787898	150
86	0.097332	0.0189524	0.0783614	150
87	0.0932372	0.017854	0.0753648	150
88	0.0948892	0.017791	0.0770803	150
89	0.0948916	0.0178955	0.0768801	150
90	0.101935	0.0183434	0.0835744	150
91	0.10316	0.0175594	0.0854823	150
92	0.105309	0.0181081	0.0871839	150
93	0.104602	0.0178417	0.0866425	150
94	0.10055	0.017905	0.0826265	150
95	0.0996574	0.0178593	0.0816812	150
96	0.103507	0.0179711	0.0855179	150
97	0.0935601	0.0173476	0.0760944	150
98	0.103365	0.018058	0.0852885	150
99	0.0943017	0.0178718	0.0762007	150
Camera closed.
