Cycle	Main Loop	Fetch	Flow	Points
0	0.054346	0.01748	0.0367683	50
1	0.051666	0.015306	0.0362858	50
2	0.0544603	0.0158855	0.038556	50
3	0.0518772	0.0154613	0.0363998	50
4	0.0532488	0.0157993	0.0374347	50
5	0.0569905	0.0180211	0.0389545	50
6	0.0555028	0.0181351	0.0373524	50
7	0.0538754	0.0156819	0.0381783	50
8	0.055484	0.0153408	0.0401268	50
9	0.053691	0.0159033	0.0372495	50
10	0.0547044	0.0165597	0.0381284	50
11	0.0556776	0.0171499	0.0385122	50
12	0.053686	0.0157907	0.0378793	50
13	0.0548756	0.0171796	0.0376813	50
14	0.0549662	0.0162832	0.0386663	50
15	0.0532846	0.0165882	0.0366805	50
16	0.0527824	0.0157566	0.0370098	50
17	0.0531568	0.016119	0.0370228	50
18	0.0542162	0.0152169	0.0389413	50
19	0.0571895	0.0168444	0.0403303	50
20	0.0553886	0.018053	0.0373207	50
21	0.0548896	0.0173747	0.0374974	50
22	0.0543718	0.016006	0.0383491	50
23	0.0585641	0.016766	0.0417833	50
24	0.0564173	0.0181987	0.0382021	50
25	0.0550176	0.0171921	0.0378096	50
26	0.0527145	0.0155342	0.037165	50
27	0.0525984	0.0155527	0.0370311	50
28	0.0542463	0.0154457	0.0387853	50
29	0.0559573	0.0172586	0.0386835	50
30	0.0544352	0.016095	0.0383237	50
31	0.0529644	0.0159642	0.036981	50
32	0.0524228	0.0155447	0.036862	50
33	0.057085	0.0199596	0.0371094	50
34	0.0523907	0.0154937	0.0368812	50
35	0.0532818	0.0155233	0.0377434	50
36	0.0759787	0.0166231	0.0593397	50
37	0.0519575	0.0153724	0.0365688	50
38	0.0565235	0.0159149	0.0405926	50
39	0.0568383	0.018221	0.0386025	50
40	0.0525409	0.0152958	0.0372268	50
41	0.0531298	0.0154393	0.037675	50
42	0.0533357	0.0162464	0.0370729	50
43	0.0517357	0.0153414	0.0363788	50
44	0.052412	0.0155484	0.0368427	50
45	0.051985	0.0153142	0.0366547	50
46	0.0547765	0.0161869	0.0385742	50
47	0.0568894	0.0180458	0.0388283	50
48	0.05483	0.0167486	0.0380656	50
49	0.0549793	0.0179506	0.0370099	50
50	0.0527324	0.015567	0.0371498	50
51	0.0548975	0.0173477	0.0375339	50
52	0.052883	0.0155452	0.0373218	50
53	0.053121	0.015802	0.0373039	50
54	0.0548386	0.0158807	0.0384413	50
55	0.052247	0.0153238	0.0369083	50
56	0.053493	0.015678	0.0378	50
57	0.05682	0.0177009	0.0391045	50
58	0.054572	0.0181729	0.0363836	50
59	0.0541239	0.0166249	0.0374843	50
60	0.0543466	0.0156769	0.038655	50
61	0.0529945	0.0159983	0.0369769	50
62	0.0618256	0.0193602	0.0424493	50
63	0.0594455	0.0189036	0.0405264	50
64	0.0556294	0.0182363	0.0373746	50
65	0.0534966	0.0156356	0.0378418	50
66	0.0552959	0.0162293	0.0390483	50
67	0.0549899	0.0155363	0.0394378	50
68	0.0577797	0.0180961	0.0396681	50
69	0.0557491	0.0160703	0.0396605	50
70	0.0561811	0.0157563	0.0404087	50
71	0.0576921	0.0181275	0.0395465	50
72	0.062558	0.0179634	0.04458	50
73	0.0540229	0.0154545	0.038553	50
74	0.0540863	0.0160603	0.0380109	50
75	0.0594451	0.0205501	0.0388798	50
76	0.059121	0.019278	0.0398236	50
77	0.0543559	0.0159464	0.0383935	50
78	0.055197	0.0156905	0.0394917	50
79	0.0566066	0.016372	0.0402169	50
80	0.0543086	0.0154506	0.0388417	50
81	0.0547177	0.015435	0.0392645	50
82	0.0547607	0.0157883	0.038957	50
83	0.0549449	0.0163683	0.0385583	50
84	0.058979	0.0194556	0.0395082	50
85	0.0541398	0.0153184	0.0388033	50
86	0.0561074	0.015629	0.0404636	50
87	0.0570091	0.0182365	0.0387578	50
88	0.05324	0.0155563	0.0376682	50
89	0.0533597	0.0154861	0.0378548	50
90	0.0539644	0.0157683	0.0381805	50
91	0.0542592	0.0164095	0.0378341	50
92	0.0566735	0.0173048	0.0393532	50
93	0.0583013	0.0193678	0.0389184	50
94	0.0542393	0.0157665	0.0384577	50
95	0.0553785	0.0154694	0.0398942	50
96	0.0535842	0.016522	0.037046	50
97	0.0563238	0.0168354	0.0394704	50
98	0.057311	0.0157421	0.0415536	50
99	0.0588548	0.0181062	0.0407334	50
Camera closed.
