Cycle	Main Loop	Fetch	Flow	Points
0	0.125502	0.0182887	0.10711	200
1	0.124435	0.0176462	0.106712	200
2	0.12695	0.018546	0.108384	200
3	0.123138	0.0180571	0.105061	200
4	0.121859	0.0180274	0.103812	200
5	0.124325	0.0184074	0.105898	200
6	0.130051	0.018619	0.111412	200
7	0.124807	0.01782	0.106968	200
8	0.126911	0.018077	0.108814	200
9	0.132499	0.0181205	0.114358	200
10	0.127703	0.0182613	0.109422	200
11	0.124313	0.0178961	0.106398	200
12	0.120479	0.0184226	0.102037	200
13	0.110566	0.0153263	0.0952155	200
14	0.11522	0.0157181	0.0994817	200
15	0.107793	0.0156776	0.0920924	200
16	0.111545	0.0154272	0.0960975	200
17	0.115402	0.0161211	0.099262	200
18	0.108406	0.015451	0.0929353	200
19	0.107615	0.0155211	0.0920547	200
20	0.118968	0.0171012	0.101846	200
21	0.106873	0.015393	0.0914607	200
22	0.109492	0.0166622	0.0928092	200
23	0.116124	0.0167079	0.0993967	200
24	0.108588	0.0157738	0.0927947	200
25	0.115464	0.0151827	0.100261	200
26	0.11511	0.0159548	0.0991347	200
27	0.115464	0.0151386	0.100306	200
28	0.117662	0.0161274	0.101514	200
29	0.128336	0.015739	0.112577	200
30	0.12015	0.017521	0.102609	200
31	0.123551	0.0160327	0.107499	200
32	0.122271	0.0183738	0.103877	200
33	0.110537	0.0153522	0.0951651	200
34	0.118647	0.0155157	0.103111	200
35	0.107433	0.0153489	0.0920644	200
36	0.108457	0.015298	0.0931133	200
37	0.12069	0.0176067	0.103059	200
38	0.113976	0.0155495	0.0984073	200
39	0.11598	0.0154105	0.100549	200
40	0.11025	0.0154275	0.0948026	200
41	0.117293	0.0155372	0.101736	200
42	0.114897	0.0154749	0.099402	200
43	0.116441	0.0156501	0.100771	200
44	0.110783	0.0161682	0.094594	200
45	0.108608	0.0155753	0.0930135	200
46	0.119607	0.0176561	0.101931	200
47	0.111184	0.0169061	0.0942575	200
48	0.115687	0.0153948	0.100273	200
49	0.118521	0.0153896	0.103112	200
50	0.116655	0.0164843	0.100151	200
51	0.113249	0.016283	0.0969459	200
52	0.12689	0.0185169	0.108353	200
53	0.120377	0.0152992	0.105058	200
54	0.117953	0.0165504	0.101379	200
55	0.119365	0.0156231	0.103722	200
56	0.109283	0.0153865	0.0938751	200
57	0.117587	0.0163541	0.10121	200
58	0.111934	0.0168385	0.0950756	200
59	0.111718	0.0158201	0.0958786	200
60	0.124273	0.0168465	0.107406	200
61	0.124472	0.0176785	0.106774	200
62	0.113704	0.0172765	0.096315	200
63	0.123328	0.0187015	0.104607	200
64	0.117655	0.0156502	0.101982	200
65	0.11892	0.0156193	0.103282	200
66	0.128749	0.017397	0.111332	200
67	0.120914	0.0179064	0.102988	200
68	0.129939	0.0168389	0.113079	200
69	0.133334	0.015987	0.117326	200
70	0.130938	0.0153622	0.115555	200
71	0.121472	0.016835	0.104617	200
72	0.1171	0.014995	0.102085	200
73	0.119391	0.0152647	0.104103	200
74	0.126788	0.0170562	0.109708	200
75	0.121932	0.0153375	0.106571	200
76	0.125743	0.0153986	0.110324	200
77	0.131572	0.0152341	0.116319	200
78	0.128154	0.0155986	0.112532	200
79	0.117465	0.0152551	0.102187	200
80	0.122265	0.0155513	0.106694	200
81	0.114323	0.016019	0.0982841	200
82	0.109009	0.0158941	0.0930942	200
83	0.125997	0.0161722	0.109805	200
84	0.128973	0.0172485	0.111701	200
85	0.115958	0.0155162	0.100404	200
86	0.113917	0.0150435	0.0988539	200
87	0.121199	0.0155957	0.105584	200
88	0.124812	0.015338	0.108931	200
89	0.129683	0.0177898	0.11187	200
90	0.117194	0.0176085	0.0995623	200
91	0.10903	0.0155719	0.093435	200
92	0.123151	0.0157815	0.107349	200
93	0.120607	0.0182437	0.102345	200
94	0.12068	0.015652	0.105008	200
95	0.12219	0.0159572	0.106213	200
96	0.125831	0.0162074	0.109603	200
97	0.123328	0.0174994	0.105809	200
98	0.125141	0.0184869	0.106633	200
99	0.119721	0.0172427	0.102415	200
Camera closed.
