Cycle	Main Loop	Fetch	Flow	Points
0	0.0364396	0.0150732	0.0212638	10
1	0.0362205	0.0154113	0.0207371	10
2	0.0367172	0.0151262	0.0215777	10
3	0.0394053	0.0182816	0.0211089	10
4	0.0376582	0.0153405	0.0223043	10
5	0.0359129	0.0155965	0.0203016	10
6	0.0359571	0.0156541	0.0202882	10
7	0.0361024	0.0156419	0.0204427	10
8	0.0380845	0.0171567	0.020914	10
9	0.0392278	0.0182552	0.0209588	10
10	0.0372863	0.0164037	0.0208648	10
11	0.0387731	0.0175801	0.0211786	10
12	0.0393745	0.018215	0.0211464	10
13	0.0386724	0.0178074	0.0208496	10
14	0.036586	0.0157085	0.020864	10
15	0.0374123	0.0160135	0.0213839	10
16	0.0407265	0.0189073	0.0218053	10
17	0.0386813	0.0180175	0.0206488	10
18	0.0413086	0.0189999	0.0222942	10
19	0.0387848	0.0182179	0.0205521	10
20	0.036266	0.0157245	0.0205233	10
21	0.0372164	0.0157675	0.0214345	10
22	0.0400982	0.0186048	0.0214798	10
23	0.0367977	0.0155811	0.021203	10
24	0.0378334	0.0174232	0.0203953	10
25	0.0388177	0.0182365	0.020567	10
26	0.0360468	0.0156972	0.0203345	10
27	0.0360197	0.0153695	0.0206372	10
28	0.0383301	0.0155619	0.0227538	10
29	0.0360193	0.01533	0.0206757	10
30	0.0395682	0.0173344	0.02222	10
31	0.0368882	0.0163415	0.0205264	10
32	0.0379063	0.0168185	0.0210693	10
33	0.0365451	0.015636	0.0208959	10
34	0.0361057	0.0153672	0.0207244	10
35	0.0356146	0.0153604	0.0202373	10
36	0.0362956	0.0154658	0.0208158	10
37	0.0360759	0.0153708	0.0206906	10
38	0.037267	0.0158497	0.021399	10
39	0.0393775	0.0173738	0.0219901	10
40	0.0411799	0.0182281	0.0229383	10
41	0.0369734	0.0161636	0.0207954	10
42	0.036501	0.0154555	0.0210313	10
43	0.0377635	0.0159295	0.0218198	10
44	0.0414173	0.0179633	0.0234396	10
45	0.0394887	0.0158465	0.0236272	10
46	0.0400245	0.0182456	0.0217647	10
47	0.0373044	0.0166797	0.0206108	10
48	0.0359569	0.0155379	0.020404	10
49	0.0360139	0.0154504	0.0205488	10
50	0.038306	0.0169042	0.0213879	10
51	0.0385195	0.0178825	0.0206234	10
52	0.0357888	0.0154462	0.0203272	10
53	0.0369411	0.0159619	0.0209655	10
54	0.0375112	0.0162699	0.0212268	10
55	0.0390771	0.0180572	0.021007	10
56	0.0360735	0.0157491	0.0203055	10
57	0.0379503	0.0157263	0.0222098	10
58	0.0383115	0.015721	0.022576	10
59	0.0545703	0.0338009	0.0207553	10
60	0.040483	0.019376	0.0210932	10
61	0.0388975	0.0184289	0.020451	10
62	0.0355989	0.0153776	0.0202071	10
63	0.0357973	0.0155492	0.020229	10
64	0.0368216	0.0159815	0.0208252	10
65	0.0392951	0.0182543	0.0210261	10
66	0.0366015	0.0162884	0.0202985	10
67	0.0364486	0.0159701	0.020461	10
68	0.0368593	0.0158068	0.0210385	10
69	0.0397733	0.0185587	0.0212011	10
70	0.0414337	0.0156714	0.0257485	10
71	0.037301	0.0168323	0.0204528	10
72	0.0358529	0.0152968	0.0205405	10
73	0.035411	0.0148793	0.0205117	10
74	0.0354535	0.0149466	0.0204926	10
75	0.0368778	0.0153779	0.0214853	10
76	0.0389038	0.0178219	0.0210628	10
77	0.0368641	0.0159332	0.0209166	10
78	0.0355429	0.0148766	0.0206518	10
79	0.0358088	0.0152142	0.0205791	10
80	0.0371307	0.0157375	0.0213792	10
81	0.0381991	0.0175036	0.0206797	10
82	0.0367045	0.0156444	0.0210459	10
83	0.0411192	0.0174896	0.023615	10
84	0.0378512	0.0171508	0.020686	10
85	0.035457	0.0147741	0.0206674	10
86	0.0359138	0.015509	0.0203895	10
87	0.0359663	0.0153303	0.020621	10
88	0.0361422	0.0154177	0.020709	10
89	0.035805	0.0152416	0.0205488	10
90	0.0355994	0.0148728	0.020711	10
91	0.03579	0.0150076	0.0207628	10
92	0.0370338	0.0164417	0.0205771	10
93	0.0378567	0.0160077	0.0218347	10
94	0.0357277	0.0150317	0.0206806	10
95	0.0370132	0.0159856	0.0210124	10
96	0.0357746	0.0151896	0.0205693	10
97	0.038701	0.0169363	0.0217505	10
98	0.0370429	0.0163125	0.0206861	10
99	0.0356663	0.0151068	0.0205442	10
Camera closed.
